Strategy,Entry Time,Exit Time,Type,Lots,Entry Price,Exit Price,RR,PnL,Balance
VWAP_REVERSION,06/10/2025 22:40,06/10/2025 22:50,SELL,0.01,3963.725,3969.442708,3.4,-5.72,486.75
SMC_CHOCH,06/10/2025 23:30,07/10/2025 01:00,BUY,0.01,3969.707,3958.805184,2,-10.9,475.85
SMC_CHOCH,07/10/2025 02:15,07/10/2025 07:00,BUY,0.01,3963.972,3951.759491,2,-12.21,463.63
VWAP_REVERSION,07/10/2025 22:00,07/10/2025 23:00,SELL,0.01,3986.151,3991.453227,3.18,-5.3,458.33
SMC_CHOCH,07/10/2025 23:45,08/10/2025 04:10,BUY,0.01,3995.478,4020.549983,2,25.07,483.4
SMC_CHOCH,08/10/2025 05:20,08/10/2025 22:05,BUY,0.01,4034.384,4019.120596,2,-15.26,468.14
RSI_REVERSION,08/10/2025 22:05,08/10/2025 23:00,BUY,0.01,4020.34,4014.120856,3.23,-6.22,461.92
SMC_FVG,08/10/2025 23:30,08/10/2025 23:50,SELL,0.01,4017.523,4003.36108,2,14.16,476.08
SMC_CHOCH,09/10/2025 00:20,09/10/2025 16:35,BUY,0.01,4027.151,3994.509818,2,-32.64,443.44
VWAP_REVERSION,09/10/2025 16:50,09/10/2025 17:05,BUY,0.01,3970.495,3962.200659,6.5,-8.29,435.15
SMC_FVG,09/10/2025 22:05,09/10/2025 22:10,BUY,0.01,3975.299,3965.13054,2,-10.17,424.98
SMC_CHOCH,09/10/2025 23:35,10/10/2025 01:40,BUY,0.01,3987.248,3971.084252,2,-16.16,408.82
SMC_CHOCH,10/10/2025 04:10,10/10/2025 05:15,SELL,0.01,3947.954,3974.205654,2,-26.25,382.56
VWAP_REVERSION,10/10/2025 15:20,10/10/2025 16:05,SELL,0.01,4015.21,3983.589179,4.12,31.62,414.18
SMC_CHOCH,12/10/2025 22:05,12/10/2025 23:00,BUY,0.01,4015.314,4046.669034,2,31.36,445.54
SMC_CHOCH,13/10/2025 00:10,13/10/2025 00:40,SELL,0.01,4031.896,4054.456841,2,-22.56,422.98
SMC_FVG,13/10/2025 01:25,13/10/2025 04:15,SELL,0.01,4042.112,4056.830038,2,-14.72,408.26
SMC_CHOCH,13/10/2025 09:10,13/10/2025 13:15,BUY,0.01,4076.227,4089.662002,2,13.44,421.7
SMC_CHOCH,13/10/2025 14:30,13/10/2025 16:15,BUY,0.01,4097.175,4117.036895,2,19.86,441.56
SMC_FVG,13/10/2025 16:25,13/10/2025 17:10,BUY,0.01,4109.959,4102.274112,2,-7.68,433.87
VWAP_REVERSION,13/10/2025 22:00,13/10/2025 23:30,SELL,0.01,4112.951,4118.360497,4.95,-5.41,428.46
RSI_REVERSION,13/10/2025 23:30,13/10/2025 23:50,SELL,0.01,4126.28,4131.920524,2.26,-5.64,422.82
SMC_CHOCH,13/10/2025 23:50,14/10/2025 00:00,BUY,0.01,4126.959,4120.420413,2,-6.54,416.28
SMC_FVG,14/10/2025 00:00,14/10/2025 01:15,BUY,0.01,4121.399,4142.098174,2,20.7,436.98
SMC_FVG,14/10/2025 02:45,14/10/2025 03:25,BUY,0.01,4146.559,4158.849788,2,12.29,449.27
SMC_CHOCH,14/10/2025 03:35,14/10/2025 05:40,BUY,0.01,4161.674,4136.86655,2,-24.81,424.47
SMC_FVG,14/10/2025 07:05,14/10/2025 08:05,BUY,0.01,4104.421,4131.983284,2,27.56,452.03
SMC_CHOCH,14/10/2025 08:05,14/10/2025 12:40,BUY,0.01,4129.999,4109.747367,2,-20.25,431.78
RSI_REVERSION,14/10/2025 12:40,14/10/2025 13:00,BUY,0.01,4109.624,4100.688845,1.68,-8.94,422.84
VWAP_REVERSION,14/10/2025 22:15,15/10/2025 01:00,SELL,0.01,4162.549,4171.338338,3.75,-8.79,414.05
SMC_FVG,15/10/2025 02:30,15/10/2025 06:45,BUY,0.01,4168.445,4196.055456,2,27.61,441.66
SMC_CHOCH,15/10/2025 09:05,15/10/2025 09:20,SELL,0.01,4207.562,4180.071127,2,27.49,469.15
LIQUIDITY_SWEEP,15/10/2025 09:25,16/10/2025 00:25,BUY,0.01,4189.946,4223.064008,2,33.12,502.27
RSI_REVERSION,16/10/2025 00:25,16/10/2025 00:55,SELL,0.01,4223.23,4212.237,1.6,10.99,513.26
SMC_CHOCH,16/10/2025 02:40,16/10/2025 05:30,BUY,0.01,4235.98,4218.772342,2,-17.21,496.06
RSI_REVERSION,16/10/2025 05:30,16/10/2025 05:55,BUY,0.01,4210.705,4203.875909,2.86,-6.83,489.23
VWAP_REVERSION,16/10/2025 14:05,16/10/2025 15:05,SELL,0.01,4260.723,4267.660097,4.23,-6.94,482.29
RSI_REVERSION,16/10/2025 22:25,16/10/2025 23:50,SELL,0.01,4367.767,4377.255157,3.42,-9.49,472.8
LIQUIDITY_SWEEP,17/10/2025 00:00,17/10/2025 01:15,SELL,0.01,4361.334,4330.39625,2,30.94,503.74
LIQUIDITY_SWEEP,17/10/2025 01:45,17/10/2025 03:55,BUY,0.01,4300.473,4364.044,1.95,63.57,567.31
SMC_CHOCH,17/10/2025 03:55,17/10/2025 05:30,BUY,0.01,4366.694,4342.119372,2,-24.57,542.74
BB_BREAKOUT,17/10/2025 10:35,17/10/2025 10:45,SELL,0.01,4323.672,4336.741251,2,-13.07,529.67
SMC_CHOCH,17/10/2025 11:40,17/10/2025 14:00,SELL,0.01,4307.66,4252.474392,2,55.19,584.85
SMC_FVG,17/10/2025 14:35,17/10/2025 16:55,SELL,0.01,4258.965,4201.544491,2,57.42,642.27
SMC_CHOCH,19/10/2025 22:10,20/10/2025 00:10,BUY,0.01,4259.162,4232.517647,2,-26.64,615.63
SMC_FVG,20/10/2025 00:10,20/10/2025 01:25,BUY,0.01,4225.208,4263.789948,2,38.58,654.21
SMC_FVG,20/10/2025 03:00,20/10/2025 06:25,BUY,0.01,4252.911,4226.538667,2,-26.37,627.84
RSI_REVERSION,20/10/2025 06:25,20/10/2025 07:05,BUY,0.01,4226.852,4244.633429,1.51,17.78,645.62
VWAP_REVERSION,20/10/2025 11:55,20/10/2025 12:15,SELL,0.01,4279.281,4288.838934,2.95,-9.56,636.06
SMC_CHOCH,20/10/2025 15:15,21/10/2025 07:30,BUY,0.01,4354.813,4313.813295,2,-41,595.06
SMC_CHOCH,21/10/2025 14:30,27/10/2025 14:15,SELL,0.01,4134.114,3997.674977,2,136.44,731.5
SMC_FVG,27/10/2025 14:25,28/10/2025 01:05,SELL,0.01,3998.825,4013.782532,2,-14.96,716.54
RSI_REVERSION,28/10/2025 01:10,28/10/2025 02:20,SELL,0.01,4017.821,3998.306786,2.24,19.51,736.06
RSI_REVERSION,28/10/2025 04:20,28/10/2025 04:25,BUY,0.01,3973.742,3965.060729,1.65,-8.68,727.38
SMC_FVG,28/10/2025 04:40,28/10/2025 06:35,SELL,0.01,3976.982,3949.649039,2,27.33,754.71
SMC_CHOCH,28/10/2025 10:30,28/10/2025 15:10,BUY,0.01,3913.357,3958.73575,2,45.38,800.09
SMC_CHOCH,28/10/2025 23:45,29/10/2025 07:10,BUY,0.01,3957.5,3996.750631,2,39.25,839.34
VWAP_REVERSION,29/10/2025 07:10,29/10/2025 08:00,SELL,0.01,3994.991,4004.429833,2.93,-9.44,829.9
SMC_FVG,29/10/2025 09:55,29/10/2025 13:10,BUY,0.01,4023.998,4011.687808,2,-12.31,817.59
SMC_CHOCH,29/10/2025 13:10,29/10/2025 18:35,SELL,0.01,4012.525,3970.103395,2,42.42,860.01
SMC_CHOCH,29/10/2025 23:55,30/10/2025 02:10,BUY,0.01,3952.836,3930.97998,2,-21.86,838.16
SMC_CHOCH,30/10/2025 04:25,30/10/2025 22:50,BUY,0.01,3959.302,4034.417834,2,75.12,913.27
SMC_CHOCH,31/10/2025 01:50,03/11/2025 00:10,SELL,0.01,4016.118,3971.810476,2,44.31,957.58
RSI_REVERSION,03/11/2025 00:10,03/11/2025 01:05,BUY,0.01,3968.468,3985.632571,2.04,17.16,974.74
VWAP_REVERSION,03/11/2025 08:00,03/11/2025 09:40,SELL,0.01,4026.812,3999.348669,3.68,27.46,1002.21
SMC_CHOCH,03/11/2025 23:10,04/11/2025 14:30,SELL,0.01,3988.41,3939.527662,2,48.88,1051.09
SMC_CHOCH,05/11/2025 00:00,05/11/2025 05:25,BUY,0.01,3941.522,3977.581593,2,36.06,1087.15
VWAP_REVERSION,05/11/2025 14:25,05/11/2025 16:50,SELL,0.02,3983.72,3989.867626,3.59,-12.3,1074.85
RSI_REVERSION,05/11/2025 23:00,06/11/2025 02:30,BUY,0.01,3968.566,3981.414357,2.53,12.85,1087.7
SMC_CHOCH,06/11/2025 11:30,06/11/2025 12:50,BUY,0.01,4012.114,4003.283374,2,-8.83,1078.87
RSI_REVERSION,06/11/2025 14:20,06/11/2025 14:25,BUY,0.02,3995.147,3990.149573,3.05,-9.99,1068.88
SMC_CHOCH,06/11/2025 23:30,07/11/2025 01:05,BUY,0.01,3983.829,3996.255056,2,12.43,1081.3
SMC_FVG,07/11/2025 03:15,07/11/2025 04:20,SELL,0.01,3990.107,3997.522679,2,-7.42,1073.89
VWAP_REVERSION,07/11/2025 16:35,07/11/2025 17:05,SELL,0.02,4025.725,3998.661498,4.73,54.13,1128.01
SMC_CHOCH,09/11/2025 23:05,10/11/2025 01:20,BUY,0.01,4009.096,4039.926698,2,30.83,1158.85
RSI_REVERSION,10/11/2025 01:35,10/11/2025 04:20,SELL,0.01,4050.729,4056.820255,3.55,-6.09,1152.75
SMC_CHOCH,10/11/2025 09:10,10/11/2025 12:10,SELL,0.01,4074.971,4089.182605,2,-14.21,1138.54
SMC_CHOCH,10/11/2025 14:40,10/11/2025 15:05,SELL,0.01,4081.344,4091.746948,2,-10.4,1128.14
VWAP_REVERSION,10/11/2025 16:25,10/11/2025 17:50,SELL,0.02,4093.005,4098.819222,3.76,-11.63,1116.51
SMC_CHOCH,10/11/2025 23:00,11/11/2025 00:45,BUY,0.01,4116.732,4130.891946,2,14.16,1130.67
SMC_FVG,11/11/2025 01:00,11/11/2025 03:10,BUY,0.01,4130.328,4142.514974,2,12.19,1142.86
SMC_CHOCH,11/11/2025 04:10,11/11/2025 14:45,SELL,0.01,4143.164,4121.822482,2,21.34,1164.2
VWAP_REVERSION,11/11/2025 15:20,11/11/2025 15:25,BUY,0.02,4107.99,4102.688965,4.92,-10.6,1153.6
SMC_FVG,11/11/2025 16:30,11/11/2025 19:45,BUY,0.02,4108.731,4122.406612,2,27.35,1180.95
SMC_CHOCH,11/11/2025 23:35,12/11/2025 01:00,BUY,0.01,4141.863,4130.695172,2,-11.17,1169.78
SMC_FVG,12/11/2025 01:35,12/11/2025 01:45,SELL,0.01,4128.749,4134.156152,2,-5.41,1164.37
RSI_REVERSION,12/11/2025 04:00,12/11/2025 05:30,BUY,0.01,4108.104,4102.994252,2.1,-5.11,1159.26
RSI_REVERSION,12/11/2025 12:30,12/11/2025 13:00,SELL,0.02,4138.429,4129.426071,1.81,18.01,1177.27
VWAP_REVERSION,12/11/2025 15:00,12/11/2025 15:10,SELL,0.02,4141.813,4147.407059,2.96,-11.19,1166.08
SMC_CHOCH,12/11/2025 17:00,13/11/2025 01:15,BUY,0.01,4202.182,4180.502706,2,-21.68,1144.4
SMC_CHOCH,13/11/2025 03:00,13/11/2025 08:15,BUY,0.01,4195.694,4230.36219,2,34.67,1179.07
RSI_REVERSION,13/11/2025 08:15,13/11/2025 12:55,SELL,0.01,4234.338,4242.761636,1.79,-8.42,1170.65
VWAP_REVERSION,13/11/2025 12:55,13/11/2025 14:20,SELL,0.02,4242.523,4212.294543,4.46,60.46,1231.1
SMC_FVG,13/11/2025 16:35,13/11/2025 18:25,BUY,0.01,4200.247,4191.319588,2,-8.93,1222.18
SMC_CHOCH,13/11/2025 18:35,17/11/2025 19:40,SELL,0.01,4148.361,4019.389835,2,128.97,1351.15
SMC_CHOCH,18/11/2025 01:00,18/11/2025 01:50,BUY,0.01,4041.76,4024.140984,2,-17.62,1333.53
SMC_CHOCH,18/11/2025 03:05,18/11/2025 08:30,SELL,0.01,4014.415,4030.113446,2,-15.7,1317.83
RSI_REVERSION,18/11/2025 08:30,18/11/2025 09:55,SELL,0.02,4036.793,4045.269187,2.36,-16.95,1300.88
SMC_CHOCH,18/11/2025 15:10,19/11/2025 05:15,SELL,0.01,4059.439,4083.252157,2,-23.81,1277.06
VWAP_REVERSION,19/11/2025 05:20,19/11/2025 06:00,SELL,0.01,4091.39,4098.123896,3.06,-6.73,1270.33
SMC_FVG,19/11/2025 11:40,19/11/2025 13:10,BUY,0.02,4111.461,4104.638558,2,-13.64,1256.69
SMC_CHOCH,19/11/2025 13:20,19/11/2025 13:30,SELL,0.01,4104.081,4114.824347,2,-10.74,1245.94
SMC_CHOCH,19/11/2025 17:00,19/11/2025 18:50,SELL,0.01,4060.777,4087.139155,2,-26.36,1219.58
SMC_CHOCH,20/11/2025 00:00,20/11/2025 01:20,BUY,0.01,4105.311,4093.690058,2,-11.62,1207.96
SMC_FVG,20/11/2025 01:55,20/11/2025 02:00,BUY,0.01,4081.388,4071.350679,2,-10.04,1197.92
RSI_REVERSION,20/11/2025 02:15,20/11/2025 03:05,BUY,0.01,4050.738,4083.971071,4,33.23,1231.15
VWAP_REVERSION,20/11/2025 08:10,20/11/2025 12:10,BUY,0.01,4047.154,4073.892454,2.71,26.74,1257.89
RSI_REVERSION,20/11/2025 13:00,20/11/2025 13:30,SELL,0.02,4087.739,4074.631357,1.63,26.22,1284.11
SMC_CHOCH,20/11/2025 23:00,20/11/2025 23:45,SELL,0.01,4073.529,4088.579363,2,-15.05,1269.06
SMC_FVG,20/11/2025 23:50,21/11/2025 01:00,BUY,0.01,4077.638,4068.570815,2,-9.07,1259.99
SMC_CHOCH,21/11/2025 02:50,21/11/2025 16:50,SELL,0.01,4063.303,4088.953254,2,-25.65,1234.34
RSI_REVERSION,21/11/2025 16:50,21/11/2025 20:20,SELL,0.01,4093.844,4072.839786,2.33,21,1255.34
LIQUIDITY_SWEEP,23/11/2025 23:10,24/11/2025 01:10,SELL,0.01,4074.834,4052.460538,2,22.37,1277.72
SMC_CHOCH,24/11/2025 01:55,24/11/2025 07:40,SELL,0.01,4044.155,4064.885843,2,-20.73,1256.99
VWAP_REVERSION,24/11/2025 13:30,24/11/2025 15:05,SELL,0.02,4083.741,4090.001442,3.87,-12.52,1244.47
SMC_CHOCH,24/11/2025 18:50,25/11/2025 02:45,BUY,0.01,4120.184,4152.57261,2,32.39,1276.86
SMC_FVG,25/11/2025 04:00,25/11/2025 07:35,BUY,0.01,4139.555,4132.694772,2,-6.86,1270
VWAP_REVERSION,25/11/2025 08:50,25/11/2025 10:15,BUY,0.02,4111.89,4138.844375,4.1,53.91,1323.9
SMC_CHOCH,26/11/2025 00:45,26/11/2025 01:35,SELL,0.01,4136.709,4148.596199,2,-11.89,1312.02
SMC_FVG,26/11/2025 04:20,26/11/2025 06:30,BUY,0.01,4158.377,4152.291166,2,-6.09,1305.93
VWAP_REVERSION,26/11/2025 11:30,26/11/2025 12:40,SELL,0.02,4172.231,4157.34645,2.46,29.77,1335.7
SMC_OB,26/11/2025 23:25,27/11/2025 01:05,BUY,0.01,4164.343,4158.132192,2,-6.21,1329.49
RSI_REVERSION,27/11/2025 01:15,27/11/2025 02:50,BUY,0.01,4150.998,4146.099079,2.39,-4.9,1324.59
SMC_FVG,27/11/2025 03:40,27/11/2025 04:30,SELL,0.01,4147.952,4152.856925,2,-4.9,1319.69
SMC_FVG,27/11/2025 05:40,27/11/2025 06:35,BUY,0.01,4148.224,4157.744417,2,9.52,1329.21
VWAP_REVERSION,27/11/2025 23:10,28/11/2025 00:05,SELL,0.02,4162.65,4166.162255,2,-7.02,1322.18
SMC_FVG,28/11/2025 01:10,28/11/2025 04:25,BUY,0.01,4186.364,4179.095846,2,-7.27,1314.91
SMC_CHOCH,28/11/2025 12:00,28/11/2025 13:55,SELL,0.01,4171.842,4181.161229,2,-9.32,1305.59
SMC_FVG,28/11/2025 15:05,28/11/2025 15:10,BUY,0.02,4192.772,4186.281121,2,-12.98,1292.61
SMC_CHOCH,28/11/2025 18:00,01/12/2025 01:55,BUY,0.01,4217.279,4251.87668,2,34.6,1327.21
RSI_REVERSION,01/12/2025 01:55,01/12/2025 02:30,SELL,0.01,4255.34,4235.399,2.96,19.94,1347.15
SMC_FVG,01/12/2025 02:35,01/12/2025 05:15,BUY,0.01,4235.294,4225.364674,2.13,-9.93,1337.22
LIQUIDITY_SWEEP,01/12/2025 05:25,01/12/2025 07:55,BUY,0.01,4220.227,4243.998445,2,23.77,1360.99
RSI_REVERSION,02/12/2025 01:05,02/12/2025 02:45,BUY,0.01,4206.202,4223.526571,2.46,17.32,1378.32
VWAP_REVERSION,02/12/2025 15:50,02/12/2025 15:55,BUY,0.02,4171.088,4164.318596,5.63,-13.54,1364.78
SMC_CHOCH,02/12/2025 23:00,03/12/2025 01:00,SELL,0.01,4202.88,4217.719802,2,-14.84,1349.94
SMC_CHOCH,03/12/2025 11:15,03/12/2025 13:20,BUY,0.01,4202.225,4222.265619,2,20.04,1369.98
RSI_REVERSION,03/12/2025 13:20,03/12/2025 13:40,SELL,0.03,4220.199,4224.994842,1.56,-14.39,1355.59
SMC_FVG,03/12/2025 15:10,03/12/2025 15:30,SELL,0.02,4217.647,4224.607171,2,-13.92,1341.67
SMC_CHOCH,04/12/2025 00:10,04/12/2025 03:00,BUY,0.01,4207.644,4198.298925,2,-9.35,1332.33
